collection,slug,title,country,region,city,address,lat,lon,listing_url,query,needs,address_missing,address_incomplete,coords_missing,source_path
farms,coraltree-organic-products,CoralTree Organic Products,NZ,Hawke's Bay,Hastings,,,,/farms/coraltree-organic-products/,"CoralTree Organic Products, Hastings, Hawke's Bay, NZ",missing_address,true,false,true,_farms/coraltree-organic-products.md
farms,the-ata-farm,The Āta Farm,New Zealand,Auckland,Waiheke Island,,,,/farms/the-ata-farm/,"The Āta Farm, Waiheke Island, Auckland, New Zealand",missing_address,true,false,true,_farms/the-ata-farm.md
markets,market-slug,Market name,Country name,Region or state,City or town,,,,/markets/market-slug/,"Market name, City or town, Region or state, Country name",missing_address,true,false,true,_markets/_template.md
markets,old-packhouse-market,The Old Packhouse Market,New Zealand,Northland,Kerikeri,,,,/markets/old-packhouse-market/,"The Old Packhouse Market, Kerikeri, Northland, New Zealand",missing_address,true,false,true,_markets/old-packhouse-market.md
markets,harbour-harvest-market,Harbour Harvest Market,New Zealand,Wellington,Te Aro,,-41.292,174.778,/markets/harbour-harvest-market/,"Harbour Harvest Market, Te Aro, Wellington, New Zealand",missing_address,true,false,false,_markets/harbour-harvest-market.md
markets,west-coast-farmers-market-greymouth,West Coast Farmers Market,NZ,West Coast,Greymouth,,,,/markets/west-coast-farmers-market-greymouth/,"West Coast Farmers Market, Greymouth, West Coast, NZ",missing_address,true,false,true,_markets/west-coast-farmers-market-greymouth.md
markets,jan-powers-farmers-market,Jan Powers Farmers Market,Australia,,,,,,/markets/jan-powers-farmers-market/,"Jan Powers Farmers Market, Australia",missing_address,true,false,true,_markets/jan-powers-farmers-market.md
restaurants,origine-bistro-auckland,Origine Bistro,New Zealand,Auckland,Auckland,,,,/restaurants/origine-bistro-auckland/,"Origine Bistro, Auckland, Auckland, New Zealand",missing_address,true,false,true,_restaurants/origine-bistro-auckland.md
restaurants,dripping-bowl-wanaka,Dripping Bowl,New Zealand,Otago,Wānaka,,,,/restaurants/dripping-bowl-wanaka/,"Dripping Bowl, Wānaka, Otago, New Zealand",missing_address,true,false,true,_restaurants/dripping-bowl-wanaka.md
restaurants,federal-diner-wanaka,Federal Diner,New Zealand,Otago,Wānaka,,,,/restaurants/federal-diner-wanaka/,"Federal Diner, Wānaka, Otago, New Zealand",missing_address,true,false,true,_restaurants/federal-diner-wanaka.md
restaurants,aro-cafe-wellington,Aro Cafe,New Zealand,Wellington,Wellington,,,,/restaurants/aro-cafe-wellington/,"Aro Cafe, Wellington, Wellington, New Zealand",missing_address,true,false,true,_restaurants/aro-cafe-wellington.md
restaurants,good-earth-cafe-dunedin,The Good Earth Cafe,New Zealand,Otago,Dunedin,,,,/restaurants/good-earth-cafe-dunedin/,"The Good Earth Cafe, Dunedin, Otago, New Zealand",missing_address,true,false,true,_restaurants/good-earth-cafe-dunedin.md
restaurants,the-origin-christchurch,The Origin,New Zealand,Canterbury,Christchurch,,,,/restaurants/the-origin-christchurch/,"The Origin, Christchurch, Canterbury, New Zealand",missing_address,true,false,true,_restaurants/the-origin-christchurch.md
restaurants,restaurant-slug,Restaurant or café name,Country name,Region or state,City or town,,,,/restaurants/restaurant-slug/,"Restaurant or café name, City or town, Region or state, Country name",missing_address,true,false,true,_restaurants/_template.md
restaurants,the-lotus-heart-christchurch,The Lotus-Heart,New Zealand,Canterbury,Christchurch,,,,/restaurants/the-lotus-heart-christchurch/,"The Lotus-Heart, Christchurch, Canterbury, New Zealand",missing_address,true,false,true,_restaurants/the-lotus-heart-christchurch.md
restaurants,matatoki-cheese-barn,Matatoki Cheese Barn,New Zealand,Waikato,Matatoki,,,,/restaurants/matatoki-cheese-barn/,"Matatoki Cheese Barn, Matatoki, Waikato, New Zealand",missing_address,true,false,true,_restaurants/matatoki-cheese-barn.md
restaurants,misters-auckland,Misters,New Zealand,Auckland,Auckland,,,,/restaurants/misters-auckland/,"Misters, Auckland, Auckland, New Zealand",missing_address,true,false,true,_restaurants/misters-auckland.md
restaurants,neo-cafe-wellington,Neo Cafe & Eatery,New Zealand,Wellington,Wellington,,,,/restaurants/neo-cafe-wellington/,"Neo Cafe & Eatery, Wellington, Wellington, New Zealand",missing_address,true,false,true,_restaurants/neo-cafe-wellington.md
restaurants,driving-creek-cafe,Driving Creek Café,New Zealand,Waikato,Coromandel,,,,/restaurants/driving-creek-cafe/,"Driving Creek Café, Coromandel, Waikato, New Zealand",missing_address,true,false,true,_restaurants/driving-creek-cafe.md
restaurants,barefoot-eatery-christchurch,Barefoot Eatery,New Zealand,Canterbury,Christchurch,,,,/restaurants/barefoot-eatery-christchurch/,"Barefoot Eatery, Christchurch, Canterbury, New Zealand",missing_address,true,false,true,_restaurants/barefoot-eatery-christchurch.md
restaurants,hapi-organic-cafe-napier,Hapi Organic Cafe & Maara,New Zealand,Hawke's Bay,Napier,,,,/restaurants/hapi-organic-cafe-napier/,"Hapi Organic Cafe & Maara, Napier, Hawke's Bay, New Zealand",missing_address,true,false,true,_restaurants/hapi-organic-cafe-napier.md
restaurants,kopupako-kitchen,Kopupako Kitchen,New Zealand,Wellington,Newtown,,-41.312,174.779,/restaurants/kopupako-kitchen/,"Kopupako Kitchen, Newtown, Wellington, New Zealand",missing_address,true,false,false,_restaurants/kopupako-kitchen.md
restaurants,pepper-tree-coromandel,The Pepper Tree Restaurant,New Zealand,Waikato,Coromandel,,,,/restaurants/pepper-tree-coromandel/,"The Pepper Tree Restaurant, Coromandel, Waikato, New Zealand",missing_address,true,false,true,_restaurants/pepper-tree-coromandel.md
restaurants,tairua-beach-club,Tairua Beach Club,New Zealand,Waikato,Tairua,,,,/restaurants/tairua-beach-club/,"Tairua Beach Club, Tairua, Waikato, New Zealand",missing_address,true,false,true,_restaurants/tairua-beach-club.md
restaurants,eatery-by-franks-queenstown,Eatery by Frank’s,New Zealand,Otago,Queenstown,,,,/restaurants/eatery-by-franks-queenstown/,"Eatery by Frank’s, Queenstown, Otago, New Zealand",missing_address,true,false,true,_restaurants/eatery-by-franks-queenstown.md
restaurants,east-restaurant-auckland,East Restaurant,New Zealand,Auckland,Auckland,,,,/restaurants/east-restaurant-auckland/,"East Restaurant, Auckland, Auckland, New Zealand",missing_address,true,false,true,_restaurants/east-restaurant-auckland.md
restaurants,quad-eatery-christchurch,Quad Eatery,New Zealand,Canterbury,Christchurch,,,,/restaurants/quad-eatery-christchurch/,"Quad Eatery, Christchurch, Canterbury, New Zealand",missing_address,true,false,true,_restaurants/quad-eatery-christchurch.md
restaurants,amisfield-bistro-queenstown,Amisfield Bistro,New Zealand,Otago,Queenstown,,,,/restaurants/amisfield-bistro-queenstown/,"Amisfield Bistro, Queenstown, Otago, New Zealand",missing_address,true,false,true,_restaurants/amisfield-bistro-queenstown.md
restaurants,solscape-conscious-kitchen,Solscape – The Conscious Kitchen,New Zealand,Waikato,Raglan,,,,/restaurants/solscape-conscious-kitchen/,"Solscape – The Conscious Kitchen, Raglan, Waikato, New Zealand",missing_address,true,false,true,_restaurants/solscape-conscious-kitchen.md
restaurants,amore-food-shop-cafe-timaru,Amore Food Shop & Cafe,New Zealand,Canterbury,Timaru,,,,/restaurants/amore-food-shop-cafe-timaru/,"Amore Food Shop & Cafe, Timaru, Canterbury, New Zealand",missing_address,true,false,true,_restaurants/amore-food-shop-cafe-timaru.md
restaurants,greenland-cafe-wellington,GreenLand Cafe,New Zealand,Wellington,Wellington,,,,/restaurants/greenland-cafe-wellington/,"GreenLand Cafe, Wellington, Wellington, New Zealand",missing_address,true,false,true,_restaurants/greenland-cafe-wellington.md
restaurants,11th-avenue-by-franks-queenstown,11th Avenue by Frank’s,New Zealand,Otago,Queenstown,,,,/restaurants/11th-avenue-by-franks-queenstown/,"11th Avenue by Frank’s, Queenstown, Otago, New Zealand",missing_address,true,false,true,_restaurants/11th-avenue-by-franks-queenstown.md
restaurants,craggy-range-restaurant,Craggy Range Restaurant,New Zealand,Hawke's Bay,Havelock North,,,,/restaurants/craggy-range-restaurant/,"Craggy Range Restaurant, Havelock North, Hawke's Bay, New Zealand",missing_address,true,false,true,_restaurants/craggy-range-restaurant.md
restaurants,kingi-auckland,kingi,New Zealand,Auckland,Auckland,,,,/restaurants/kingi-auckland/,"kingi, Auckland, Auckland, New Zealand",missing_address,true,false,true,_restaurants/kingi-auckland.md
restaurants,odelay-cafe-queenstown,Odelay Cafe,New Zealand,Otago,Queenstown,,,,/restaurants/odelay-cafe-queenstown/,"Odelay Cafe, Queenstown, Otago, New Zealand",missing_address,true,false,true,_restaurants/odelay-cafe-queenstown.md
restaurants,kakariki-kitchen-whanganui,Kakariki Kitchen,New Zealand,Manawatū-Whanganui,Whanganui,,,,/restaurants/kakariki-kitchen-whanganui/,"Kakariki Kitchen, Whanganui, Manawatū-Whanganui, New Zealand",missing_address,true,false,true,_restaurants/kakariki-kitchen-whanganui.md
restaurants,govett-brewster-cafe,Govett-Brewster Cafe (Monica's Eatery),New Zealand,Taranaki,New Plymouth,,,,/restaurants/govett-brewster-cafe/,"Govett-Brewster Cafe (Monica's Eatery), New Plymouth, Taranaki, New Zealand",missing_address,true,false,true,_restaurants/govett-brewster-cafe.md
restaurants,camina-thames,Camina,New Zealand,Waikato,Thames,,,,/restaurants/camina-thames/,"Camina, Thames, Waikato, New Zealand",missing_address,true,false,true,_restaurants/camina-thames.md
restaurants,wholemeal-cafe-takaka,Wholemeal Cafe,New Zealand,Tasman,Takaka,,,,/restaurants/wholemeal-cafe-takaka/,"Wholemeal Cafe, Takaka, Tasman, New Zealand",missing_address,true,false,true,_restaurants/wholemeal-cafe-takaka.md
restaurants,old-quarter-wellington,The Old Quarter,New Zealand,Wellington,Wellington,,,,/restaurants/old-quarter-wellington/,"The Old Quarter, Wellington, Wellington, New Zealand",missing_address,true,false,true,_restaurants/old-quarter-wellington.md
