collection,slug,title,country,region,city,address,lat,lon,listing_url,notes
markets,clevedon-village-farmers-market,Clevedon Village Farmers Market,NZ,Auckland,Manukau,107 Monument Road (Clevedon Showgrounds),,-36.9889,/markets/clevedon-village-farmers-market/,Coordinates missing — address can be used for lookup
markets,coburg-farmers-market,Coburg Farmers Market,AU,Victoria,Melbourne,"Coburg Primary School, 92 Bell Street",,,/markets/coburg-farmers-market/,Coordinates missing — address can be used for lookup
markets,feilding-farmers-market,Feilding Farmers Market,NZ,Manawatū-Whanganui,Manawatū,Manchester Square,,-40.2274,/markets/feilding-farmers-market/,Coordinates missing — address can be used for lookup
markets,ferrymead-night-market,Ferrymead Night Market,New Zealand,Canterbury,Christchurch,"Ferrymead Heritage Park, 50 Ferrymead Park Drive, Heathcote, Christchurch",,,/markets/ferrymead-night-market/,Coordinates missing — address can be used for lookup
markets,gasworks-farmers-market,Gasworks Farmers Market,AU,Victoria,Melbourne,21 Graham Street,,,/markets/gasworks-farmers-market/,Coordinates missing — address can be used for lookup
markets,gisborne-farmers-market,Gisborne Farmers Market,NZ,Gisborne,Gisborne,"Railway Station, Grey Street",,-38.6639,/markets/gisborne-farmers-market/,Coordinates missing — address can be used for lookup
markets,golden-bay-farmers-market,Golden Bay Farmers Market,NZ,Tasman,Takaka,The Square / Village Green,,,/markets/golden-bay-farmers-market/,Coordinates missing — address can be used for lookup
markets,grey-lynn-farmers-market,Grey Lynn Farmers Market,NZ,Auckland,Auckland,510 Richmond Road (Grey Lynn Community Centre),,-36.8564,/markets/grey-lynn-farmers-market/,Coordinates missing — address can be used for lookup
markets,hamilton-farmers-market,Hamilton Farmers Market,NZ,Waikato,Hamilton,"Te Rapa Racecourse, Ken Browne Dr",,-37.7435,/markets/hamilton-farmers-market/,Coordinates missing — address can be used for lookup
markets,hawke-s-bay-farmers-market-hastings,Hawke S Bay Farmers Market Hastings,NZ,Hawke's Bay,Hastings,"Showground Hawke’s Bay, Kenilworth Rd",,-39.6559,/markets/hawke-s-bay-farmers-market-hastings/,Coordinates missing — address can be used for lookup
markets,hill-street-farmers-market,Hill Street Farmers Market,NZ,Wellington,Wellington,93 Hill Street,,,/markets/hill-street-farmers-market/,Coordinates missing — address can be used for lookup
markets,jan-powers-farmers-market-mitchelton,Jan Powers Farmers Market Mitchelton,AU,Queensland,Brisbane,Blackwood St (Mitchelton Marketplace),,,/markets/jan-powers-farmers-market-mitchelton/,Coordinates missing — address can be used for lookup
markets,jan-powers-farmers-market-powerhouse,Jan Powers Farmers Market Powerhouse,AU,Queensland,Brisbane,"Brisbane Powerhouse, 119 Lamington St",,,/markets/jan-powers-farmers-market-powerhouse/,Coordinates missing — address can be used for lookup
markets,lyttelton-farmers-market,Lyttelton Farmers Market,NZ,Canterbury,Christchurch,London Street (near Lyttelton Main School),,-43.6025,/markets/lyttelton-farmers-market/,Coordinates missing — address can be used for lookup
markets,mansfield-farmers-market,Mansfield Farmers Market,AU,Victoria,Mansfield,High Street,,,/markets/mansfield-farmers-market/,Coordinates missing — address can be used for lookup
markets,marlborough-farmers-market,Marlborough Farmers Market,NZ,Marlborough,Blenheim,43 Hathaway Street (A&P Showgrounds),,-41.518,/markets/marlborough-farmers-market/,Coordinates missing — address can be used for lookup
markets,matakana-village-farmers-market,Matakana Village Farmers' Market,New Zealand,Auckland,Matakana,"2 Matakana Valley Road, Matakana, Auckland",,,/markets/matakana-village-farmers-market/,Coordinates missing — address can be used for lookup
markets,mornington-peninsula-farmers-market,Mornington Peninsula Farmers Market,AU,Victoria,Melbourne,Main Street,,,/markets/mornington-peninsula-farmers-market/,Coordinates missing — address can be used for lookup
markets,mullumbimby-farmers-market,Mullumbimby Farmers Market,AU,New South Wales,Mullumbimby,"Mullumbimby Showgrounds, 62 Main Arm Rd",,,/markets/mullumbimby-farmers-market/,Coordinates missing — address can be used for lookup
markets,napier-urban-farmers-market,Napier Urban Farmers Market,NZ,Hawke's Bay,Napier,Clive Square,,-39.4921,/markets/napier-urban-farmers-market/,Coordinates missing — address can be used for lookup
markets,nelson-farmers-market,Nelson Farmers Market,NZ,Nelson,Nelson,Morrison Square (243 Trafalgar St),,-41.2708,/markets/nelson-farmers-market/,Coordinates missing — address can be used for lookup
markets,northey-street-organic-farmers-market,Northey Street Organic Farmers Market,AU,Queensland,Brisbane,"Northey Street City Farm, 16 Victoria Street",,,/markets/northey-street-organic-farmers-market/,Coordinates missing — address can be used for lookup
markets,northland-farmers-market-whangarei,Northland Farmers Market,NZ,Northland,Whangārei,Rust Ave,,,/markets/northland-farmers-market-whangarei/,Coordinates missing — address can be used for lookup
markets,oamaru-organics,Oamaru Organics,New Zealand,Otago,Oamaru,"469 Alma-Maheno Road, Alma, Oamaru 9492",,,/markets/oamaru-organics/,Coordinates missing — address can be used for lookup
