collection,slug,title,country,region,city,address,listing_url
markets,northland-farmers-market-whangarei,Northland Farmers Market,NZ,Northland,Whangārei,Rust Ave,/markets/northland-farmers-market-whangarei/
markets,gisborne-farmers-market,Gisborne Farmers Market,NZ,Gisborne,Gisborne,"Railway Station, Grey Street",/markets/gisborne-farmers-market/
markets,rotorua-farmers-market,Rotorua Farmers Market,NZ,Bay of Plenty,Rotorua,"Te Manawa, 1170 Amohau Street",/markets/rotorua-farmers-market/
markets,jan-powers-farmers-market-mitchelton,Jan Powers Farmers Market (Mitchelton),AU,Queensland,Brisbane,Blackwood St (Mitchelton Marketplace),/markets/jan-powers-farmers-market-mitchelton/
markets,oamaru-organics,Oamaru Organics,New Zealand,Otago,Oamaru,"469 Alma-Maheno Road, Alma, Oamaru 9492",/markets/oamaru-organics/
markets,remarkables-market-queenstown,Remarkables Market,NZ,Otago,Queenstown,Remarkables Park,/markets/remarkables-market-queenstown/
markets,byron-bay-farmers-market,Byron Bay Farmers Market,AU,New South Wales,Byron Bay,Butler St Reserve,/markets/byron-bay-farmers-market/
markets,wellington-harbourside-market,Wellington Harbourside Market,NZ,Wellington,Wellington,Waterloo Quay,/markets/wellington-harbourside-market/
markets,marlborough-farmers-market,Marlborough Farmers Market,NZ,Marlborough,Blenheim,43 Hathaway Street (A&P Showgrounds),/markets/marlborough-farmers-market/
markets,bay-of-islands-farmers-market-paihia,Bay of Islands Farmers Market – Paihia,NZ,Northland,Paihia,"Village Green, 60 Marsden Rd",/markets/bay-of-islands-farmers-market-paihia/
markets,napier-urban-farmers-market,Napier Urban Farmers Market,NZ,Hawke's Bay,Napier,Clive Square,/markets/napier-urban-farmers-market/
markets,coromandel-homegrown-community-market,Coromandel Town Homegrown Community Market,NZ,Waikato,Coromandel,Hike 'n' Bike lawn,/markets/coromandel-homegrown-community-market/
markets,ohoka-farmers-market,Ohoka Farmers Market,New Zealand,Canterbury,Ohoka,"Ohoka Domain, Whites Road, Ohoka",/markets/ohoka-farmers-market/
markets,jan-powers-farmers-market-manly,Jan Powers Farmers Market (Manly),AU,Queensland,Brisbane,"Manly Harbour, Royal Esplanade",/markets/jan-powers-farmers-market-manly/
markets,wanaka-farmers-market,Wānaka Farmers Market,NZ,Otago,Wānaka,Ardmore Street (near Bullock Creek),/markets/wanaka-farmers-market/
markets,hawke-s-bay-farmers-market-hastings,Hawke’s Bay Farmers Market (Hastings),NZ,Hawke's Bay,Hastings,"Showground Hawke’s Bay, Kenilworth Rd",/markets/hawke-s-bay-farmers-market-hastings/
markets,whanganui-river-markets,Whanganui River Markets,NZ,Manawatū-Whanganui,Whanganui,"Whanganui Riverbank, Taupo Quay",/markets/whanganui-river-markets/
markets,taranaki-farmers-market,Taranaki Farmers Market,NZ,Taranaki,New Plymouth,Currie Street (Huatoki Plaza),/markets/taranaki-farmers-market/
markets,kapiti-coast-farmers-market,Kapiti Coast Farmers Market,NZ,Wellington,Paraparaumu,Lindale,/markets/kapiti-coast-farmers-market/
markets,motueka-sunday-market,Motueka Sunday Market,NZ,Tasman,Motueka,Decks Reserve,/markets/motueka-sunday-market/
markets,whangarei-growers-market,Whangarei Growers Market,NZ,Northland,Whangārei,Water Street (Sunnyside carpark),/markets/whangarei-growers-market/
markets,clevedon-village-farmers-market,Clevedon Village Farmers Market,NZ,Auckland,Manukau,107 Monument Road (Clevedon Showgrounds),/markets/clevedon-village-farmers-market/
markets,otago-farmers-market-dunedin,Otago Farmers Market (Dunedin),NZ,Otago,Dunedin,Anzac Avenue (Dunedin Railway Station),/markets/otago-farmers-market-dunedin/
markets,ballarat-farmers-market,Ballarat Farmers Market,AU,Victoria,Ballarat,Lake Wendouree,/markets/ballarat-farmers-market/
markets,riccarton-sunday-market,Riccarton Sunday Market,New Zealand,Canterbury,Christchurch,"165 Racecourse Road, Riccarton Park, Christchurch",/markets/riccarton-sunday-market/
markets,mullumbimby-farmers-market,Mullumbimby Farmers Market,AU,New South Wales,Mullumbimby,"Mullumbimby Showgrounds, 62 Main Arm Rd",/markets/mullumbimby-farmers-market/
