id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
77,Pakihi Marine Farms,Farm,Organic certified operator,Certified-organic producer in Clevedon.,"148 (Growing Area 502) Kauri Bay, Clevedon;",,Clevedon,,,,,,,,,MOLLUSCS: Oysters (Crassostrea gigas) and Wild Spat,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
78,Pathways Health,Farm,Organic certified operator,Certified-organic producer in Papakura.,"140 Hamlin Road, Ardmore, Papakura, Auckland",,Papakura,Auckland,,,,,,,,"VEGETABLES: Aubergine, Beans, Beetroot, Broad Beans, Broccoli, Cabbage, Capsicum, Carrots, Cauliflower, Celeriac, Celery, Chillies, Choy Sum, Collard Greens, Co",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
79,Priorfarm,Farm,Organic certified operator,Certified-organic producer in Okato.,"1297 Richmond Rd, RD9, Inglewood & 695 Pitone Road, Okato",,Okato,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasure Based & Supplements",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
80,RD Beattie,Farm,Organic certified operator,Certified-organic producer in Kowhai Vale Farm & Akaroa Harbour.,"65 Early Valley Road, Christchurch, Kowhai Vale Farm & Akaroa Harbour (Harvest Quota Area KBB3G)",,Kowhai Vale Farm & Akaroa Harbour,,,,,,,,,"SEAWEED: Giant Kelp (Macrocystis pyrifera), Waikame Kelp (Undaria pinnatifida)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
81,River Point Farm,Farm,Organic certified operator,Certified-organic producer in Carterton.,"476 Waihakeke Road, Carterton, New Zealand",,Carterton,,,,,,,,,"DAIRY: Raw Milk ; FEED: Pasture Based Supplement Feed (Hay, Baleage and Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
82,RJ & JJ Ridings,Farm,Organic certified operator,Certified-organic producer in Paeroa.,"15 Ridings Rd, RD 1,Paeroa",,Paeroa,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Baleage & Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
83,R & M Steiner,Farm,Organic certified operator,Certified-organic producer in Galatea.,"150 Mangamate Road & 145 Jolly Road, Galatea",,Galatea,,,,,,,,,"FEED: Pasture, Pasture based supplement feed (Baleage, Hay and Silage); DAIRY: Raw Milk, Live Cattle",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
84,Roselea Farm,Farm,Organic certified operator,Certified-organic producer in Carterton.,"127 Dorset Rd, Carterton",,Carterton,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
85,RWP Trust,Farm,Organic certified operator,Certified-organic producer in Okato.,"2362 Wiremu Road, Okato, Taranaki,",,Okato,Taranaki,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat ; FEED: Pasture Based Supplements",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
86,Sentry Hill Partnership,Farm,Organic certified operator,Certified-organic producer in Takapau.,"465 Mararetu Road, Takapau",,Takapau,,,,,,,,,SHEEP,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
87,Shalomdale,Farm,Organic certified operator,Certified-organic producer in Hamilton.,"160 Marshmeadow Road, Newstead, Hamilton",,Hamilton,,,,,,,,,"GRAINS: Popcorn, Maize; FEED: Pasture Based Supplement Feed (Hay, Silage, Baleage), Maize",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
88,Sheehy Scott Family Trust,Farm,Organic certified operator,Certified-organic producer in Otorohanga.,"121 Austin Road, Otorohanga; Runoff: 829 Honikiwi Road, Otorohanga",,Otorohanga,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture, Pasture Based Supplement Feed (Lucerne Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
89,Shelly Beach Organics,Farm,Organic certified operator,Certified-organic producer in Helensville.,"149 Shelly Beach Road, RD 1, Helensville",,Helensville,,,,,,,,,FEED: Pasture Based Supplement Feed (Hay and Baleage),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
90,Shortland Farm Ltd Partnership,Farm,Organic certified operator,Certified-organic producer in Opunake.,"32 Young Road & 5218 South Road, RD32, Opunake",,Opunake,,,,,,,,,"DAIRY: Raw Milk, NOP Animals for Meat, Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
91,Southern Cross Produce,Farm,Organic certified operator,Certified-organic producer in Invercargill.,"Office and Factory: 259 Grove Bush Woodlands Road, RD2 Invercargill;",,Invercargill,,,,,,,,,"VEGETABLES: Beetroot, Broccoli, Brussel Sprouts, Carrots, Cauliflower, Garlic, Leeks, Onions, Parsnips, Potatoes, Pumpkin, Soya Bean, Spring Onions, Yams.",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
92,Spring Collective Ltd trading as Streamside Organics,Farm,Organic certified operator,Certified-organic producer in Leeston.,"290, 338, 366 Brookside and Irwell Road, Leeston, Canterbury",,Leeston,Canterbury,,,,,,,,"VEGETABLES: Asparagus, Beetroot, Golden Beetroot, Chioggoia Beetroot, Baby Beetroot, Broccoli, Basil, Green Beans, Broad Beans, Carrots, Rainbow Carrots, Baby C",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
93,Sproull Farms,Farm,Organic certified operator,Certified-organic producer in Opawe Road and Ashhurst Domain - Pamerston North.,"1158 & 1173 Fitzherbert East Rd, Palmerston North: Runoffs: Centre Road, Opawe Road and Ashhurst Domain - Pamerston North",,Opawe Road and Ashhurst Domain - Pamerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Silage, Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
94,SR & KLM Vincent,Farm,Organic certified operator,Certified-organic producer in Dargaville.,"6109 SH12, RD4, Dargaville, New Zealand",,Dargaville,,,,,,,,,"VEGETABLES: Basil, Beans, Beetroot, Brocoli, Butternut, Cabbage, Capsicum, Cauliflower, Cougettes, Cucumber (Telegraph), Eggplant, Kale, Kumara, Leeks, Lettuce",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
95,Stephen & Sarah Tait-Jamieson,Farm,Organic certified operator,Certified-organic producer in Central Hawkes Bay.,"Farms: 485 Kairakau Road and 2021 Elsthorpe Road, Elsthorpe, Central Hawkes Bay",,Central Hawkes Bay,,,,,,,,,"BEEF: Beef, SHEEP: Lamb & Wool",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
96,Strathmore Farms,Farm,Organic certified operator,Certified-organic producer in Whakatane.,"308 Gow Road, RD 3, Whakatane",,Whakatane,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay and Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
97,Surrey Fields Trust,Farm,Organic certified operator,Certified-organic producer in Mangakino.,"Dairy: 1613 State Highway 32,  Mangakino",,Mangakino,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; SHEEP: Sheep, Lambs, Wool; FEED: Pasture Based Supplement Feed (Hay, Baleage, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
98,Surrey Fields Trust - Edgecumbe,Farm,Organic certified operator,Certified-organic producer in Edgecumbe.,"172 Edgecumbe Soldiers Rd; 191 Withy Rd, Edgecumbe, Waikato",,Edgecumbe,Waikato,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
99,Table Top Station,Farm,Organic certified operator,Certified-organic producer in Kurow 9498.,"430 Table Top Road, RD1, Hakataramea Valley, Kurow 9498",,Kurow 9498,,,,,,,,,"FEED: Pasture, Pasture based supplement feed (Baleage, Hay and Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
